date,campaign_id,campaign_name,spend,impressions,clicks
2026-06-01,fb_camp_001,Summer_Sale_TokenABC,86.23,4305,98
2026-06-01,fb_camp_002,Prospecting_TokenXYZ,122.59,7296,154
2026-06-02,fb_camp_001,Summer_Sale_TokenABC,112.6,5641,127
2026-06-02,fb_camp_002,Prospecting_TokenXYZ,108.91,4409,69
2026-06-03,fb_camp_001,Summer_Sale_TokenABC,145.71,7515,194
2026-06-03,fb_camp_002,Prospecting_TokenXYZ,111.0,6416,129
2026-06-04,fb_camp_001,Summer_Sale_TokenABC,204.45,9871,219
2026-06-04,fb_camp_002,Prospecting_TokenXYZ,170.79,7925,165
2026-06-05,fb_camp_001,Summer_Sale_TokenABC,96.83,5540,113
2026-06-05,fb_camp_002,Prospecting_TokenXYZ,152.58,8215,126
2026-06-06,fb_camp_001,Summer_Sale_TokenABC,99.85,4672,110
2026-06-06,fb_camp_002,Prospecting_TokenXYZ,207.21,11579,195
2026-06-07,fb_camp_001,Summer_Sale_TokenABC,137.11,8002,135
2026-06-07,fb_camp_002,Prospecting_TokenXYZ,120.9,6170,102
2026-06-08,fb_camp_001,Summer_Sale_TokenABC,91.22,5126,145
2026-06-08,fb_camp_002,Prospecting_TokenXYZ,180.66,10302,197
2026-06-09,fb_camp_001,Summer_Sale_TokenABC,146.18,6564,165
2026-06-09,fb_camp_002,Prospecting_TokenXYZ,127.41,7581,131
2026-06-10,fb_camp_001,Summer_Sale_TokenABC,110.93,4910,105
2026-06-10,fb_camp_002,Prospecting_TokenXYZ,174.23,8240,214
2026-06-11,fb_camp_001,Summer_Sale_TokenABC,148.35,6207,166
2026-06-11,fb_camp_002,Prospecting_TokenXYZ,80.05,3967,88
2026-06-12,fb_camp_001,Summer_Sale_TokenABC,174.58,7070,192
2026-06-12,fb_camp_002,Prospecting_TokenXYZ,159.81,8244,223
2026-06-13,fb_camp_001,Summer_Sale_TokenABC,185.22,8091,226
2026-06-13,fb_camp_002,Prospecting_TokenXYZ,180.83,10357,270
2026-06-14,fb_camp_001,Summer_Sale_TokenABC,135.05,7804,130
2026-06-14,fb_camp_002,Prospecting_TokenXYZ,174.67,8386,150
2026-06-15,fb_camp_001,Summer_Sale_TokenABC,183.5,9461,253
2026-06-15,fb_camp_002,Prospecting_TokenXYZ,141.2,7337,175
2026-06-16,fb_camp_001,Summer_Sale_TokenABC,119.04,6948,123
2026-06-16,fb_camp_002,Prospecting_TokenXYZ,139.45,7311,148
2026-06-17,fb_camp_001,Summer_Sale_TokenABC,125.48,6176,116
2026-06-17,fb_camp_002,Prospecting_TokenXYZ,120.9,6491,173
2026-06-18,fb_camp_001,Summer_Sale_TokenABC,216.08,11566,183
2026-06-18,fb_camp_002,Prospecting_TokenXYZ,149.89,7052,206
2026-06-19,fb_camp_001,Summer_Sale_TokenABC,98.19,4975,101
2026-06-19,fb_camp_002,Prospecting_TokenXYZ,180.75,8410,202
2026-06-20,fb_camp_001,Summer_Sale_TokenABC,116.59,5152,133
2026-06-20,fb_camp_002,Prospecting_TokenXYZ,218.48,10869,217
2026-06-21,fb_camp_001,Summer_Sale_TokenABC,112.69,6269,172
2026-06-21,fb_camp_002,Prospecting_TokenXYZ,80.36,4749,115
2026-06-22,fb_camp_001,Summer_Sale_TokenABC,98.8,4099,84
2026-06-22,fb_camp_002,Prospecting_TokenXYZ,202.28,10297,241
2026-06-23,fb_camp_001,Summer_Sale_TokenABC,170.23,8217,143
2026-06-23,fb_camp_002,Prospecting_TokenXYZ,152.22,7046,147
2026-06-24,fb_camp_001,Summer_Sale_TokenABC,111.76,6040,124
2026-06-24,fb_camp_002,Prospecting_TokenXYZ,147.43,7783,129
2026-06-25,fb_camp_001,Summer_Sale_TokenABC,187.3,8861,220
2026-06-25,fb_camp_002,Prospecting_TokenXYZ,218.41,9370,212
2026-06-26,fb_camp_001,Summer_Sale_TokenABC,169.77,7324,142
2026-06-26,fb_camp_002,Prospecting_TokenXYZ,189.12,7880,222
2026-06-27,fb_camp_001,Summer_Sale_TokenABC,156.31,9370,142
2026-06-27,fb_camp_002,Prospecting_TokenXYZ,82.49,4441,109
2026-06-28,fb_camp_001,Summer_Sale_TokenABC,205.3,10548,275
2026-06-28,fb_camp_002,Prospecting_TokenXYZ,121.1,6623,186
2026-06-29,fb_camp_001,Summer_Sale_TokenABC,123.79,5470,122
2026-06-29,fb_camp_002,Prospecting_TokenXYZ,181.37,8990,237
2026-06-30,fb_camp_001,Summer_Sale_TokenABC,95.67,4709,112
2026-06-30,fb_camp_002,Prospecting_TokenXYZ,193.95,11608,200
